"성별","연령계층별",2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02
"계","계",27404,27509,27515,27154,26800,26838
"계","15 - 19세",170,184,176,188,205,194
"계","20 - 29세",3780,3814,3819,3765,3751,3663
"계","30 - 39세",5544,5515,5533,5551,5518,5501
"계","40 - 49세",6484,6499,6484,6483,6455,6426
"계","50 - 59세",6494,6502,6497,6463,6373,6358
"계","60세이상",4931,4996,5006,4705,4497,4696
"계","15 - 64세",24684,24749,24760,24663,24487,24339
"계","15 - 24세",1431,1468,1477,1442,1460,1410
"계","15 - 29세",3950,3998,3995,3953,3956,3857
"남자","계",15539,15606,15609,15515,15324,15336
"남자","15 - 19세",72,83,77,82,92,83
"남자","20 - 29세",1856,1870,1885,1867,1840,1802
"남자","30 - 39세",3345,3336,3345,3361,3358,3333
"남자","40 - 49세",3825,3841,3817,3820,3808,3801
"남자","50 - 59세",3695,3699,3702,3699,3638,3640
"남자","60세이상",2746,2776,2784,2687,2588,2677
"남자","15 - 64세",14068,14128,14132,14123,13997,13939
"남자","15 - 24세",592,618,631,621,617,591
"남자","15 - 29세",1928,1953,1961,1949,1932,1884
"여자","계",11865,11903,11906,11638,11476,11502
"여자","15 - 19세",98,101,100,107,113,111
"여자","20 - 29세",1925,1943,1934,1898,1912,1861
"여자","30 - 39세",2199,2179,2187,2190,2161,2168
"여자","40 - 49세",2659,2658,2668,2663,2647,2625
"여자","50 - 59세",2799,2803,2795,2763,2735,2717
"여자","60세이상",2185,2219,2222,2019,1909,2019
"여자","15 - 64세",10615,10621,10629,10540,10490,10400
"여자","15 - 24세",839,851,846,820,843,819
"여자","15 - 29세",2023,2044,2034,2004,2025,1973
